team,year,player_name,dob,batting_style,bowling_style,first_class_team
West Indies,1983,Jeff Dujon (wk),28 May 1956,Right-handed,Wicket-keeper,Jamaica
West Indies,1983,Joel Garner,16 December 1952,Right-handed,Right-arm fast,Barbados
West Indies,1983,Larry Gomes,13 July 1953,Left-handed,Right-arm offbreak,Trinidad and Tobago
West Indies,1983,Malcolm Marshall,18 April 1958,Right-handed,Right-arm fast,Barbados
West Indies,1983,Michael Holding,16 February 1954,Right-handed,Right-arm fast,Jamaica
West Indies,1983,Viv Richards,7 March 1952,Right-handed,Right-arm medium/offbreak,Leeward Islands
West Indies,1983,Wayne Daniel,16 January 1956,Right-handed,Right-arm fast,Barbados
West Indies,1983,Winston Davis,18 September 1958,Right-handed,Right-arm fast,Windward Islands
Zimbabwe,1983,Ali Shah,7 August 1959,Left-handed,Right-arm medium,
Zimbabwe,1983,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,
Zimbabwe,1983,David Houghton (wk),23 June 1957,Right-handed,Right-arm off-break,
Zimbabwe,1983,Duncan Fletcher (c),27 September 1948,Left-handed,Right-arm fast-medium,
Zimbabwe,1983,Gerald Peckover,2 June 1955,Right-handed,,
Zimbabwe,1983,Graeme Hick,23 May 1966,Right-handed,Right-arm off-break,
Zimbabwe,1983,Grant Paterson,9 June 1960,Right-handed,Right-arm off-spin,
Zimbabwe,1983,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,
Zimbabwe,1983,Jack Heron,8 November 1948,Right-handed,Right-arm medium,
Zimbabwe,1983,John Traicos,17 May 1947,Right-handed,Right-arm off-spin,
Zimbabwe,1983,Kevin Curran,7 September 1959,Right-handed,Right-arm fast-medium,
Zimbabwe,1983,Peter Rawson,25 May 1957,Right-handed,Right-arm medium-fast,
Zimbabwe,1983,Robin Brown,11 March 1951,Right-handed,Right-arm medium,
Zimbabwe,1983,Vince Hogg,3 July 1952,Right-handed,Right-arm medium-fast,
Australia,1987,Allan Border (c),27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
Australia,1987,Andrew Zesers,11 March 1967,Right-handed,Right-arm medium-fast,South Australia
Australia,1987,Bruce Reid,14 March 1963,Left-handed,Left-arm fast-medium,Western Australia
Australia,1987,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
Australia,1987,David Boon,29 December 1960,Right-handed,Right-arm off-break,Tasmania
Australia,1987,Dean Jones,24 March 1961,Right-handed,Right-arm off-break,Victoria
Australia,1987,Geoff Marsh,31 December 1958,Right-handed,Right-arm off-break,Western Australia
Australia,1987,Greg Dyer (wk),16 March 1959,Right-handed,Wicket-keeper,New South Wales
Australia,1987,Mike Veletta,30 October 1963,Right-handed,,Western Australia
Australia,1987,Peter Taylor,22 August 1956,Left-handed,Right-arm offbreak,New South Wales
Australia,1987,Simon O'Donnell,26 January 1963,Right-handed,Right-arm fast-medium,Victoria
Australia,1987,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
Australia,1987,Tim May,26 January 1962,Right-handed,Right-arm offbreak,South Australia
Australia,1987,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
England,1987,Allan Lamb,20 June 1954,Right-handed,Right-arm medium,Northamptonshire
England,1987,Bill Athey,27 September 1957,Right-handed,Right-arm medium,Gloucestershire
England,1987,Chris Broad,29 September 1957,Left-handed,Right-arm medium,Nottinghamshire
England,1987,Derek Pringle,18 September 1958,Right-handed,Right-arm medium,Essex
England,1987,Eddie Hemmings,20 February 1949,Right-handed,Right-arm offbreak,Nottinghamshire
England,1987,Gladstone Small,18 October 1961,Right-handed,Right-arm fast-medium,Warwickshire
England,1987,Graham Gooch,23 July 1953,Right-handed,Right-arm medium,Essex
England,1987,John Emburey,20 August 1952,Right-handed,Right-arm off-break,Middlesex
England,1987,Mike Gatting (c),6 June 1957,Right-handed,Right-arm medium,Middlesex
England,1987,Neil Foster,6 May 1962,Right-handed,Right-arm fast-medium,Essex
England,1987,Paul Downton (wk),4 April 1957,Right-handed,Wicket-keeper,Middlesex
England,1987,Phillip DeFreitas,18 February 1966,Right-handed,Right-arm fast-medium,Leicestershire
England,1987,Tim Robinson,21 November 1958,Right-handed,Right-arm medium,Nottinghamshire
India,1987,Chandrakant Pandit,30 September 1961,Right-handed,Wicket-keeper,Bombay
India,1987,Chetan Sharma,3 January 1966,Right-handed,Right-arm fast-medium,Haryana
India,1987,Dilip Vengsarkar (vc),6 April 1956,Right-handed,Right-arm medium,Bombay
India,1987,Kapil Dev (c),6 January 1959,Right-handed,Right-arm fast-medium,Haryana
India,1987,Kiran More (wk),4 September 1962,Right-handed,Right-arm leg spin/Wicket-keeper,Baroda
India,1987,Krishnamachari Srikkanth,21 December 1959,Right-handed,Right-arm medium/off-break,Tamil Nadu
India,1987,Laxman Sivaramakrishnan,31 December 1965,Right-handed,Right-arm leg-break/googly,Tamil Nadu
India,1987,Maninder Singh,13 June 1965,Right-handed,Slow left-arm orthodox,Delhi
India,1987,Manoj Prabhakar,15 April 1963,Right-handed,Right-arm medium pace,Delhi
India,1987,Mohammad Azharuddin,8 February 1963,Right-handed,Right-arm medium,Hyderabad
India,1987,Navjot Singh Sidhu,20 October 1963,Right-handed,Right-arm medium,Punjab
India,1987,Ravi Shastri,27 May 1962,Right-handed,Slow left-arm orthodox,Bombay
India,1987,Roger Binny,19 July 1955,Right-handed,Right-arm fast-medium,Karnataka
India,1987,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/off-break,Bombay
New Zealand,1987,Andrew Jones,9 May 1959,Right-handed,Right-arm off-break,Wellington
New Zealand,1987,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
New Zealand,1987,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
New Zealand,1987,Ewen Chatfield,3 July 1950,Right-handed,Right-arm medium-fast,Wellington
New Zealand,1987,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Auckland
New Zealand,1987,Jeff Crowe (c),14 September 1958,Right-handed,Right-arm medium pace,Auckland
New Zealand,1987,John Bracewell,15 April 1958,Right-handed,Right-arm off-break,Auckland
New Zealand,1987,John Wright,5 July 1954,Left-handed,Right-arm medium,Northern Districts
New Zealand,1987,Ken Rutherford,26 October 1965,Right-handed,Right-arm medium,Otago
New Zealand,1987,Martin Crowe,22 September 1962,Right-handed,Right-arm medium,Central Districts
New Zealand,1987,Martin Snedden,23 November 1958,Left-handed,Right-arm medium-fast,Auckland
New Zealand,1987,Phil Horne,21 January 1960,Left-handed,,Auckland
New Zealand,1987,Stephen Boock,20 September 1951,Right-handed,Slow left-arm orthodox,Otago
New Zealand,1987,Willie Watson,31 August 1965,Right-handed,Right-arm fast-medium,Auckland
Pakistan,1987,Abdul Qadir,15 September 1955,Right-handed,Right-arm leg spin,Habib Bank
Pakistan,1987,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
Pakistan,1987,Imran Khan (c),5 October 1952,Right-handed,Right-arm fast,Sussex
Pakistan,1987,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
Pakistan,1987,Mansoor Akhtar,6 September 1962,Right-handed,Right-arm offspin,PAC
Pakistan,1987,Manzoor Elahi,15 April 1963,Right-handed,Right-arm fast-medium,Multan
Pakistan,1987,Mudassar Nazar,6 April 1956,Right-handed,Right-arm medium,Lahore
Pakistan,1987,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
Pakistan,1987,Saleem Jaffar,19 November 1962,Right-handed,Left-arm fast-medium,Karachi
Pakistan,1987,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break/slow-medium,Lahore
Pakistan,1987,Saleem Yousuf (wk),7 December 1959,Right-handed,Wicket-keeper,Karachi
Pakistan,1987,Shoaib Mohammad,8 January 1961,Right-handed,Right-arm offbreak,Karachi
Pakistan,1987,Tauseef Ahmed,10 May 1958,Right-handed,Right-arm offbreak,Karachi
Pakistan,1987,Wasim Akram,3 June 1966,Left-handed,Left-arm fast,Lahore
Sri Lanka,1987,Aravinda de Silva,17 October 1965,Right-handed,Right-arm offbreak,Nondescripts
Sri Lanka,1987,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,Sinhalese CC
Sri Lanka,1987,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
Sri Lanka,1987,Ashantha de Mel,9 May 1959,Right-handed,Right-arm medium-fast,
Sri Lanka,1987,Brendon Kuruppu (wk),5 January 1962,Right-handed,Wicket-keeper,Burgher RC
Sri Lanka,1987,Don Anurasiri,25 February 1966,Right-handed,Slow left-arm orthodox,Panadura SC
Sri Lanka,1987,Duleep Mendis (c),25 August 1952,Right-handed,,Sinhalese SC
Sri Lanka,1987,Ranjan Madugalle,22 April 1959,Right-handed,Right-arm off-break,Nondescripts
Sri Lanka,1987,Ravi Ratnayeke,2 May 1960,Left-handed,Right-arm fast-medium,Colombo CC
Sri Lanka,1987,Roshan Mahanama,31 May 1966,Right-handed,,Colombo CC
Sri Lanka,1987,Roy Dias,18 October 1952,Right-handed,Right-arm off-break,Colombo CC
Sri Lanka,1987,Rumesh Ratnayake,2 January 1964,Right-handed,Right-arm fast-medium,Nondescripts
Sri Lanka,1987,Sridharan Jeganathan,11 July 1951,Right-handed,Slow left-arm orthodox,Nondescripts
Sri Lanka,1987,Vinothen John,27 May 1960,Right-handed,Right-arm medium-fast,Moratuwa CC
West Indies,1987,Carl Hooper,15 December 1966,Right-handed,Right-arm offbreak,Guyana
West Indies,1987,Carlisle Best,14 May 1959,Right-handed,Right-arm off-break/medium pace,Barbados
West Indies,1987,Courtney Walsh,30 October 1962,Right-handed,Right-arm fast,Jamaica
West Indies,1987,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
West Indies,1987,Eldine Baptiste,12 March 1960,Right-handed,Right-arm fast-medium,Leeward Islands
West Indies,1987,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
West Indies,1987,Jeff Dujon (wk),28 May 1956,Right-handed,Wicket-keeper,Jamaica
West Indies,1987,Patrick Patterson,15 September 1961,Right-handed,Right-arm fast,Jamaica
West Indies,1987,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
West Indies,1987,Richie Richardson,12 January 1962,Right-handed,Right-arm medium pace,Leeward Islands
West Indies,1987,Roger Harper,17 March 1963,Right-handed,Right-arm offbreak,Guyana
West Indies,1987,Viv Richards (c),7 March 1952,Right-handed,Right-arm medium/offbreak,Leeward Islands
West Indies,1987,Winston Benjamin,31 December 1964,Right-handed,Right-arm fast,Leeward Islands
Zimbabwe,1987,Ali Shah,7 August 1959,Left-handed,Right-arm medium,
Zimbabwe,1987,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,
Zimbabwe,1987,Andy Waller,25 September 1959,Right-handed,Right-arm medium,
Zimbabwe,1987,Babu Meman,26 June 1952,Right-handed,Right-arm offbreak,
Zimbabwe,1987,David Houghton (wk),23 June 1957,Right-handed,Right-arm off-break,
Zimbabwe,1987,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,
Zimbabwe,1987,Grant Paterson,9 June 1960,Right-handed,Right-arm off-spin,
Zimbabwe,1987,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,
Zimbabwe,1987,John Traicos (c),17 May 1947,Right-handed,Right-arm off-spin,
Zimbabwe,1987,Kevin Arnott,8 March 1961,Right-handed,,
Zimbabwe,1987,Kevin Curran,7 September 1959,Right-handed,Right-arm fast-medium,
Zimbabwe,1987,Malcolm Jarvis,6 December 1955,Right-handed,Left-arm medium-fast,
Zimbabwe,1987,Peter Rawson,25 May 1957,Right-handed,Right-arm medium-fast,
Zimbabwe,1987,Robin Brown,11 March 1951,Right-handed,Right-arm medium,
Australia,1992,Allan Border (c),27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
Australia,1992,Bruce Reid,14 March 1963,Left-handed,Left-arm fast-medium,Western Australia
Australia,1992,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
Australia,1992,David Boon,29 December 1960,Right-handed,Right-arm off-break,Tasmania
Australia,1992,Dean Jones,24 March 1961,Right-handed,Right-arm off-break,Victoria
Australia,1992,Geoff Marsh,31 December 1958,Right-handed,Right-arm off-break,Western Australia
Australia,1992,Ian Healy (wk),30 April 1964,Right-handed,Wicket-keeper,Queensland
Australia,1992,Mark Taylor,27 October 1964,Left-handed,Right-arm medium,New South Wales
Australia,1992,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off-break,New South Wales
Australia,1992,Merv Hughes,23 November 1961,Right-handed,Right-arm fast,Victoria
Australia,1992,Mike Whitney,24 February 1959,Right-handed,Left-arm fast,New South Wales
Australia,1992,Peter Taylor,22 August 1956,Left-handed,Right-arm offbreak,Queensland
Australia,1992,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
Australia,1992,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
England,1992,Alec Stewart (wk),8 April 1963,Right-handed,Right-arm medium,Surrey
England,1992,Allan Lamb,20 June 1954,Right-handed,Right-arm medium,Northamptonshire
England,1992,Chris Lewis,14 February 1968,Right-handed,Right-arm fast-medium,Nottinghamshire
England,1992,Derek Pringle,18 September 1958,Right-handed,Right-arm medium,Essex
England,1992,Dermot Reeve,2 April 1963,Right-handed,Right-arm medium,Warwickshire
England,1992,Gladstone Small,18 October 1961,Right-handed,Right-arm fast-medium,Warwickshire
England,1992,Graeme Hick,23 May 1966,Right-handed,Right-arm off-break,Worcestershire
England,1992,Graham Gooch (c),23 July 1953,Right-handed,Right-arm medium,Essex
England,1992,Ian Botham,24 November 1955,Right-handed,Right-arm fast-medium,Durham
England,1992,Neil Fairbrother,9 September 1963,Left-handed,Left-arm medium,Lancashire
England,1992,Phil Tufnell,29 April 1966,Right-handed,Slow left-arm orthodox,Middlesex
England,1992,Phillip DeFreitas,18 February 1966,Right-handed,Right-arm fast-medium,Lancashire
England,1992,Richard Illingworth,23 August 1963,Right-handed,Slow left-arm orthodox,Worcestershire
England,1992,Robin Smith,13 September 1963,Right-handed,Right-arm leg-break,Hampshire
India,1992,Ajay Jadeja,1 February 1971,Right-handed,Right-arm medium,Haryana
India,1992,Javagal Srinath,31 August 1969,Right-handed,Right-arm fast,Karnataka
India,1992,Kapil Dev,6 January 1959,Right-handed,Right-arm fast-medium,Haryana
India,1992,Kiran More (wk),4 September 1962,Right-handed,Wicket-keeper,Baroda
India,1992,Krishnamachari Srikkanth,21 December 1959,Right-handed,Right-arm medium/offbreak,Tamil Nadu
India,1992,Manoj Prabhakar,15 April 1963,Right-handed,Right-arm medium pace,Delhi
India,1992,Mohammad Azharuddin (c),8 February 1963,Right-handed,Right-arm medium,Hyderabad
India,1992,Pravin Amre,14 August 1968,Right-handed,Right-arm leg-break,Bengal
India,1992,Ravi Shastri (vc),27 May 1962,Right-handed,Slow left-arm orthodox,Bombay
India,1992,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm medium/leg-break,Bombay
India,1992,Sanjay Manjrekar,12 July 1965,Right-handed,Right-arm off-spin,Bombay
India,1992,Subroto Banerjee,13 February 1969,Right-handed,Right-arm medium-fast,Bihar
India,1992,Venkatapathy Raju,9 July 1969,Right-handed,Slow left-arm orthodox,Hyderabad
India,1992,Vinod Kambli,18 January 1972,Left-handed,Right-arm off-break,Bombay
New Zealand,1992,Andrew Jones,9 May 1959,Right-handed,Right-arm off-break,Otago
New Zealand,1992,Chris Cairns,13 June 1970,Right-handed,Right-arm fast-medium,Canterbury
New Zealand,1992,Chris Harris,20 November 1969,Left-handed,Right-arm medium,Canterbury
New Zealand,1992,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
New Zealand,1992,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
New Zealand,1992,Gavin Larsen,27 September 1962,Right-handed,Right-arm medium,Wellington
New Zealand,1992,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Auckland
New Zealand,1992,John Wright,5 July 1954,Left-handed,Right-arm medium-fast,Auckland
New Zealand,1992,Ken Rutherford,26 October 1965,Right-handed,Right-arm medium,Otago
New Zealand,1992,Mark Greatbatch,11 December 1963,Left-handed,Right-arm medium,Central Districts
New Zealand,1992,Martin Crowe (c),22 September 1962,Right-handed,Right-arm medium,Wellington
New Zealand,1992,Murphy Su'a,7 November 1966,Left-handed,Left-arm fast-medium,Auckland
New Zealand,1992,Rod Latham,12 June 1961,Right-handed,Right-arm medium,Canterbury
New Zealand,1992,Willie Watson,31 August 1965,Right-handed,Right-arm fast-medium,Auckland
Pakistan,1992,Aamir Sohail,14 September 1966,Left-handed,Slow left-arm orthodox,Habib Bank
Pakistan,1992,Aaqib Javed,5 August 1972,Right-handed,Right-arm fast-medium,PAC
Pakistan,1992,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
Pakistan,1992,Imran Khan (c),25 November 1952,Right-handed,Right-arm fast,
Pakistan,1992,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,Multan
Pakistan,1992,Iqbal Sikander,19 December 1958,Right-handed,Right-arm leg-break googly,Karachi
Pakistan,1992,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
Pakistan,1992,Moin Khan (wk),23 September 1971,Right-handed,Wicket-keeper,Karachi
Pakistan,1992,Mushtaq Ahmed,28 June 1970,Right-handed,Right-arm leg-break,Multan
Pakistan,1992,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
Pakistan,1992,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break,Habib Bank
Pakistan,1992,Wasim Akram,3 June 1966,Left-handed,Left-arm fast,PIA
Pakistan,1992,Wasim Haider,6 June 1967,Right-handed,Right-arm fast-medium,Faisalabad
Pakistan,1992,Zahid Fazal,10 November 1973,Right-handed,Right-arm medium/off-break,PIA
South Africa,1992,Adrian Kuiper,24 August 1959,Right-handed,Right-arm medium/offbreak,Western Province
South Africa,1992,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Warwickshire
South Africa,1992,Andrew Hudson,17 March 1965,Right-handed,Right-arm medium,Natal
South Africa,1992,Brian McMillan,22 December 1963,Right-handed,Right-arm medium-fast,Western Province
South Africa,1992,Dave Richardson (wk),16 September 1959,Right-handed,Wicket-keeper,Eastern Province
South Africa,1992,Hansie Cronje,25 September 1969,Right-handed,Right-arm medium,Orange Free State
South Africa,1992,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,Natal
South Africa,1992,Kepler Wessels (c),14 September 1957,Left-handed,Right-arm off-break/medium,Eastern Province
South Africa,1992,Mark Rushmere,7 January 1965,Right-handed,Right-arm medium,Eastern Province
South Africa,1992,Meyrick Pringle,22 June 1966,Right-handed,Right-arm fast-medium,Western Province
South Africa,1992,Omar Henry,23 January 1952,Left-handed,Slow left-arm orthodox,Orange Free State
South Africa,1992,Peter Kirsten,14 May 1955,Right-handed,Right-arm offbreak,Border
South Africa,1992,Richard Snell,12 September 1968,Right-handed,Right-arm fast-medium,Transvaal
South Africa,1992,Tertius Bosch,14 March 1960,Right-handed,Right-arm fast,Northern Transvaal
Sri Lanka,1992,Aravinda de Silva (c),17 October 1965,Right-handed,Right-arm off-break,Nondescripts
Sri Lanka,1992,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,Sinhalese SC
Sri Lanka,1992,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
