Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,1983,New Zealand,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Central Districts
ODI World Cup,1983,New Zealand,Jeff Crowe,14 September 1958,Right-handed,Right-arm medium pace,Auckland
ODI World Cup,1983,New Zealand,Jeremy Coney,21 June 1952,Right-handed,Right-arm medium,Wellington
ODI World Cup,1983,New Zealand,John Bracewell,15 April 1958,Right-handed,Right-arm off-break,Auckland
ODI World Cup,1983,New Zealand,John Wright,5 July 1954,Left-handed,Right-arm medium,Northern Districts
ODI World Cup,1983,New Zealand,Lance Cairns,10 October 1949,Right-handed,Right-arm medium-fast,Otago
ODI World Cup,1983,New Zealand,Martin Crowe,22 September 1962,Right-handed,Right-arm medium,Central Districts
ODI World Cup,1983,New Zealand,Martin Snedden,23 November 1958,Left-handed,Right-arm medium-fast,Auckland
ODI World Cup,1983,New Zealand,Richard Hadlee,3 July 1951,Left-handed,Right-arm fast,Canterbury
ODI World Cup,1983,New Zealand,Warren Lees (wk),19 March 1952,Right-handed,Wicket-keeper,Otago
ODI World Cup,1983,Pakistan,Abdul Qadir,15 September 1955,Right-handed,Right-arm leg spin,Habib Bank
ODI World Cup,1983,Pakistan,Ijaz Faqih,24 March 1956,Right-handed,Right-arm offbreak,MCB
ODI World Cup,1983,Pakistan,Imran Khan (c),25 November 1952,Right-handed,Right-arm fast,PIA
ODI World Cup,1983,Pakistan,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
ODI World Cup,1983,Pakistan,Mansoor Akhtar,6 September 1962,Right-handed,Right-arm offspin,United Bank
ODI World Cup,1983,Pakistan,Mohsin Khan,15 March 1955,Right-handed,Right-arm medium pace,Habib Bank
ODI World Cup,1983,Pakistan,Mudassar Nazar,6 April 1956,Right-handed,Right-arm medium,Lahore
ODI World Cup,1983,Pakistan,Rashid Khan,15 December 1959,Right-handed,Right-arm fast-medium,PIA
ODI World Cup,1983,Pakistan,Sarfraz Nawaz,1 December 1948,Right-handed,Right-arm fast-medium,Lahore
ODI World Cup,1983,Pakistan,Shahid Mahboob,25 August 1962,Right-handed,Right-arm fast-medium,Karachi
ODI World Cup,1983,Pakistan,Tahir Naqqash,6 June 1959,Right-handed,Right-arm fast-medium,Lahore
ODI World Cup,1983,Pakistan,Wasim Bari (wk),23 March 1948,Right-handed,Wicket-keeper,Karachi
ODI World Cup,1983,Pakistan,Wasim Raja,3 July 1952,Left-handed,Right-arm leg-break,Lahore
ODI World Cup,1983,Pakistan,Zaheer Abbas,24 July 1947,Right-handed,Right-arm offbreak,Karachi
ODI World Cup,1983,Sri Lanka,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,SCC
ODI World Cup,1983,Sri Lanka,Ashantha de Mel,9 May 1959,Right-handed,Right-arm medium-fast,-
ODI World Cup,1983,Sri Lanka,Athula Samarasekera,5 August 1961,Right-handed,Right-arm medium,CCC
ODI World Cup,1983,Sri Lanka,Brendon Kuruppu,5 January 1962,Right-handed,Wicket-keeper,BRC
ODI World Cup,1983,Sri Lanka,Duleep Mendis (c),25 August 1952,Right-handed,-,SSC
ODI World Cup,1983,Sri Lanka,Granville de Silva,12 March 1955,Right-handed,Right-arm medium,-
ODI World Cup,1983,Sri Lanka,Guy de Alwis (wk),15 February 1959,Right-handed,Wicket-keeper,SSC
ODI World Cup,1983,Sri Lanka,Ranjan Madugalle,22 April 1959,Right-handed,Right-arm off-break,NCC
ODI World Cup,1983,Sri Lanka,Roy Dias,18 October 1952,Right-handed,Right-arm off-break,CCC
ODI World Cup,1983,Sri Lanka,Rumesh Ratnayake,2 January 1964,Right-handed,Right-arm fast-medium,NCC
ODI World Cup,1983,Sri Lanka,Sidath Wettimuny,12 August 1956,Right-handed,Right-arm medium,-
ODI World Cup,1983,Sri Lanka,Somachandra de Silva,11 June 1942,Right-handed,Right-arm leg-break,BCAC
ODI World Cup,1983,Sri Lanka,Susil Fernando,19 December 1955,Right-handed,-,SLAFSC
ODI World Cup,1983,Sri Lanka,Vinothen John,27 May 1960,Right-handed,Right-arm medium-fast,SCC
ODI World Cup,1983,West Indies,Andy Roberts,29 January 1951,Right-handed,Right-arm fast,Leeward Islands
ODI World Cup,1983,West Indies,Clive Lloyd (c),31 August 1944,Left-handed,Right-arm medium,Guyana
ODI World Cup,1983,West Indies,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
ODI World Cup,1983,West Indies,Faoud Bacchus,31 January 1954,Right-handed,Right-arm medium,Guyana
ODI World Cup,1983,West Indies,Gordon Greenidge,1 May 1951,Right-handed,Right-arm medium/offbreak,Barbados
ODI World Cup,1983,West Indies,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
ODI World Cup,1983,West Indies,Jeff Dujon (wk),28 May 1956,Right-handed,Wicket-keeper,Jamaica
ODI World Cup,1983,West Indies,Joel Garner,16 December 1952,Right-handed,Right-arm fast,Barbados
ODI World Cup,1983,West Indies,Larry Gomes,13 July 1953,Left-handed,Right-arm offbreak,Trinidad and Tobago
ODI World Cup,1983,West Indies,Malcolm Marshall,18 April 1958,Right-handed,Right-arm fast,Barbados
ODI World Cup,1983,West Indies,Michael Holding,16 February 1954,Right-handed,Right-arm fast,Jamaica
ODI World Cup,1983,West Indies,Viv Richards,7 March 1952,Right-handed,Right-arm medium/offbreak,Leeward Islands
ODI World Cup,1983,West Indies,Wayne Daniel,16 January 1956,Right-handed,Right-arm fast,Barbados
ODI World Cup,1983,West Indies,Winston Davis,18 September 1958,Right-handed,Right-arm fast,Windward Islands
ODI World Cup,1983,Zimbabwe,Ali Shah,7 August 1959,Left-handed,Right-arm medium,-
ODI World Cup,1983,Zimbabwe,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,-
ODI World Cup,1983,Zimbabwe,David Houghton (wk),23 June 1957,Right-handed,Right-arm off-break,-
ODI World Cup,1983,Zimbabwe,Duncan Fletcher (c),27 September 1948,Left-handed,Right-arm fast-medium,-
ODI World Cup,1983,Zimbabwe,Gerald Peckover,2 June 1955,Right-handed,-,-
ODI World Cup,1983,Zimbabwe,Graeme Hick,23 May 1966,Right-handed,Right-arm off-break,-
ODI World Cup,1983,Zimbabwe,Grant Paterson,9 June 1960,Right-handed,Right-arm off-spin,-
ODI World Cup,1983,Zimbabwe,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,-
ODI World Cup,1983,Zimbabwe,Jack Heron,8 November 1948,Right-handed,Right-arm medium,-
ODI World Cup,1983,Zimbabwe,John Traicos,17 May 1947,Right-handed,Right-arm off-spin,-
ODI World Cup,1983,Zimbabwe,Kevin Curran,7 September 1959,Right-handed,Right-arm fast medium,-
ODI World Cup,1983,Zimbabwe,Peter Rawson,25 May 1957,Right-handed,Right-arm medium-fast,-
ODI World Cup,1983,Zimbabwe,Robin Brown,11 March 1951,Right-handed,Right-arm medium,-
ODI World Cup,1983,Zimbabwe,Vince Hogg,3 July 1952,Right-handed,Right-arm medium-fast,-
ODI World Cup,1987,Australia,Allan Border (c),27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
ODI World Cup,1987,Australia,Andrew Zesers,11 March 1967,Right-handed,Right-arm medium-fast,South Australia
ODI World Cup,1987,Australia,Bruce Reid,14 March 1963,Left-handed,Left-arm fast-medium,Western Australia
ODI World Cup,1987,Australia,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
ODI World Cup,1987,Australia,David Boon,29 December 1960,Right-handed,Right-arm off-break,Tasmania
ODI World Cup,1987,Australia,Dean Jones,24 March 1961,Right-handed,Right-arm off-break,Victoria
ODI World Cup,1987,Australia,Geoff Marsh,31 December 1958,Right-handed,Right-arm off-break,Western Australia
ODI World Cup,1987,Australia,Greg Dyer (wk),16 March 1959,Right-handed,Wicket-keeper,New South Wales
ODI World Cup,1987,Australia,Mike Veletta,30 October 1963,Right-handed,-,Western Australia
ODI World Cup,1987,Australia,Peter Taylor,22 August 1956,Left-handed,Right-arm offbreak,New South Wales
ODI World Cup,1987,Australia,Simon O'Donnell,26 January 1963,Right-handed,Right-arm fast-medium,Victoria
ODI World Cup,1987,Australia,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1987,Australia,Tim May,26 January 1962,Right-handed,Right-arm offbreak,South Australia
ODI World Cup,1987,Australia,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1987,England,Allan Lamb,20 June 1954,Right-handed,Right-arm medium,Northamptonshire
ODI World Cup,1987,England,Bill Athey,27 September 1957,Right-handed,Right-arm medium,Gloucestershire
ODI World Cup,1987,England,Chris Broad,29 September 1957,Left-handed,Right-arm medium,Nottinghamshire
ODI World Cup,1987,England,Derek Pringle,18 September 1958,Right-handed,Right-arm medium,Essex
ODI World Cup,1987,England,Eddie Hemmings,20 February 1949,Right-handed,Right-arm offbreak,Nottinghamshire
ODI World Cup,1987,England,Gladstone Small,18 October 1961,Right-handed,Right-arm fast-medium,Warwickshire
ODI World Cup,1987,England,Graham Gooch,23 July 1953,Right-handed,Right-arm medium,Essex
ODI World Cup,1987,England,John Emburey,20 August 1952,Right-handed,Right-arm off-break,Middlesex
ODI World Cup,1987,England,Mike Gatting (c),6 June 1957,Right-handed,Right-arm medium,Middlesex
ODI World Cup,1987,England,Neil Foster,6 May 1962,Right-handed,Right-arm fast medium,Essex
ODI World Cup,1987,England,Paul Downton (wk),4 April 1957,Right-handed,Wicket-keeper,Middlesex
ODI World Cup,1987,England,Phillip DeFreitas,18 February 1966,Right-handed,Right-arm fast-medium,Leicestershire
ODI World Cup,1987,England,Tim Robinson,21 November 1958,Right-handed,Right-arm medium,Nottinghamshire
ODI World Cup,1987,India,Chandrakant Pandit,30 September 1961,Right-handed,Wicket-keeper,Bombay
ODI World Cup,1987,India,Chetan Sharma,3 January 1966,Right-handed,Right-arm fast-medium,Haryana
ODI World Cup,1987,India,Dilip Vengsarkar (vc),6 April 1956,Right-handed,Right-arm medium,Bombay
ODI World Cup,1987,India,Kapil Dev (c),6 January 1959,Right-handed,Right-arm fast-medium,Haryana
ODI World Cup,1987,India,Kiran More (wk),4 September 1962,Right-handed,Right-arm leg spin/Wicket-keeper,Baroda
ODI World Cup,1987,India,Krishnamachari Srikkanth,21 December 1959,Right-handed,Right-arm medium/off-break,Tamil Nadu
ODI World Cup,1987,India,Laxman Sivaramakrishnan,31 December 1965,Right-handed,Right-arm leg-break/googly,Tamil Nadu
ODI World Cup,1987,India,Maninder Singh,13 June 1965,Right-handed,Slow left-arm orthodox,Delhi
ODI World Cup,1987,India,Manoj Prabhakar,15 April 1963,Right-handed,Right-arm medium pace,Delhi
ODI World Cup,1987,India,Mohammad Azharuddin,8 February 1963,Right-handed,Right-arm medium,Hyderabad
ODI World Cup,1987,India,Navjot Singh Sidhu,20 October 1963,Right-handed,Right-arm medium,Punjab
ODI World Cup,1987,India,Ravi Shastri,27 May 1962,Right-handed,Slow left-arm orthodox,Bombay
ODI World Cup,1987,India,Roger Binny,19 July 1955,Right-handed,Right-arm fast-medium,Karnataka
ODI World Cup,1987,India,Sunil Gavaskar,10 July 1949,Right-handed,Right-arm medium/off-break,Bombay
ODI World Cup,1987,New Zealand,Andrew Jones,9 May 1959,Right-handed,Right-arm off-break,Wellington
ODI World Cup,1987,New Zealand,Danny Morrison,3 February 1966,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,1987,New Zealand,Dipak Patel,25 October 1958,Right-handed,Right-arm off-break,Auckland
ODI World Cup,1987,New Zealand,Ewen Chatfield,3 July 1950,Right-handed,Right-arm medium-fast,Wellington
ODI World Cup,1987,New Zealand,Ian Smith (wk),28 February 1957,Right-handed,Wicket-keeper,Auckland
ODI World Cup,1987,New Zealand,Jeff Crowe (c),14 September 1958,Right-handed,Right-arm medium pace,Auckland
ODI World Cup,1987,New Zealand,John Bracewell,15 April 1958,Right-handed,Right-arm off-break,Auckland
ODI World Cup,1987,New Zealand,John Wright,5 July 1954,Left-handed,Right-arm medium,Northern Districts
ODI World Cup,1987,New Zealand,Ken Rutherford,26 October 1965,Right-handed,Right-arm medium,Otago
ODI World Cup,1987,New Zealand,Martin Crowe,22 September 1962,Right-handed,Right-arm medium,Central Districts
ODI World Cup,1987,New Zealand,Martin Snedden,23 November 1958,Left-handed,Right-arm medium-fast,Auckland
ODI World Cup,1987,New Zealand,Phil Horne,21 January 1960,Left-handed,-,Auckland
ODI World Cup,1987,New Zealand,Stephen Boock,20 September 1951,Right-handed,Slow left-arm orthodox,Otago
ODI World Cup,1987,New Zealand,Willie Watson,31 August 1965,Right-handed,Right-arm fast-medium,Auckland
ODI World Cup,1987,Pakistan,Abdul Qadir,15 September 1955,Right-handed,Right-arm leg spin,Habib Bank
ODI World Cup,1987,Pakistan,Ijaz Ahmed,20 September 1968,Right-handed,Left-arm medium,Habib Bank
ODI World Cup,1987,Pakistan,Imran Khan (c),5 October 1952,Right-handed,Right-arm fast,Sussex
ODI World Cup,1987,Pakistan,Javed Miandad,12 June 1957,Right-handed,Right-arm leg-break,Habib Bank
ODI World Cup,1987,Pakistan,Mansoor Akhtar,6 September 1962,Right-handed,Right-arm offspin,PAC
ODI World Cup,1987,Pakistan,Manzoor Elahi,15 April 1963,Right-handed,Right-arm fast-medium,Multan
ODI World Cup,1987,Pakistan,Mudassar Nazar,6 April 1956,Right-handed,Right-arm medium,Lahore
ODI World Cup,1987,Pakistan,Rameez Raja,14 August 1962,Right-handed,Right-arm leg-break,Lahore
ODI World Cup,1987,Pakistan,Saleem Jaffar,19 November 1962,Right-handed,Left-arm fast-medium,Karachi
ODI World Cup,1987,Pakistan,Saleem Malik,16 April 1963,Right-handed,Right-arm off-break/slow-medium,Lahore
ODI World Cup,1987,Pakistan,Saleem Yousuf (wk),7 December 1959,Right-handed,Wicket-keeper,Karachi
ODI World Cup,1987,Pakistan,Shoaib Mohammad,8 January 1961,Right-handed,Right-arm offbreak,Karachi
ODI World Cup,1987,Pakistan,Tauseef Ahmed,10 May 1958,Right-handed,Right-arm offbreak,Karachi
ODI World Cup,1987,Pakistan,Wasim Akram,3 June 1966,Left-handed,Left-arm fast,Lahore
ODI World Cup,1987,Sri Lanka,Aravinda de Silva,17 October 1965,Right-handed,Right-arm offbreak,Nondescripts
ODI World Cup,1987,Sri Lanka,Arjuna Ranatunga,1 December 1963,Left-handed,Right-arm medium,Sinhalese CC
ODI World Cup,1987,Sri Lanka,Asanka Gurusinha,16 September 1966,Left-handed,Right-arm medium,Nondescripts
ODI World Cup,1987,Sri Lanka,Ashantha de Mel,9 May 1959,Right-handed,Right-arm medium-fast,-
ODI World Cup,1987,Sri Lanka,Brendon Kuruppu (wk),5 January 1962,Right-handed,Wicket-keeper,Burgher RC
ODI World Cup,1987,Sri Lanka,Don Anurasiri,25 February 1966,Right-handed,Slow left-arm orthodox,Panadura SC
ODI World Cup,1987,Sri Lanka,Duleep Mendis (c),25 August 1952,Right-handed,-,Sinhalese SC
ODI World Cup,1987,Sri Lanka,Ranjan Madugalle,22 April 1959,Right-handed,Right-arm off-break,Nondescripts
ODI World Cup,1987,Sri Lanka,Ravi Ratnayeke,2 May 1960,Left-handed,Right-arm fast medium,Colombo CC
ODI World Cup,1987,Sri Lanka,Roshan Mahanama,31 May 1966,Right-handed,-,Colombo CC
ODI World Cup,1987,Sri Lanka,Roy Dias,18 October 1952,Right-handed,Right-arm off-break,Colombo CC
ODI World Cup,1987,Sri Lanka,Rumesh Ratnayake,2 January 1964,Right-handed,Right-arm fast-medium,Nondescripts
ODI World Cup,1987,Sri Lanka,Sridharan Jeganathan,11 July 1951,Right-handed,Slow left-arm orthodox,Nondescripts
ODI World Cup,1987,Sri Lanka,Vinothen John,27 May 1960,Right-handed,Right-arm medium-fast,Moratuwa CC
ODI World Cup,1987,West Indies,Carl Hooper,15 December 1966,Right-handed,Right-arm offbreak,Guyana
ODI World Cup,1987,West Indies,Carlisle Best,14 May 1959,Right-handed,Right-arm off-break/medium pace,Barbados
ODI World Cup,1987,West Indies,Courtney Walsh,30 October 1962,Right-handed,Right-arm fast,Jamaica
ODI World Cup,1987,West Indies,Desmond Haynes,15 February 1956,Right-handed,Right-arm leg-break/medium pace,Barbados
ODI World Cup,1987,West Indies,Eldine Baptiste,12 March 1960,Right-handed,Right-arm fast-medium,Leeward Islands
ODI World Cup,1987,West Indies,Gus Logie,28 September 1960,Right-handed,Right-arm off-break,Trinidad and Tobago
ODI World Cup,1987,West Indies,Jeff Dujon (wk),28 May 1956,Right-handed,Wicket-keeper,Jamaica
ODI World Cup,1987,West Indies,Patrick Patterson,15 September 1961,Right-handed,Right-arm fast,Jamaica
ODI World Cup,1987,West Indies,Phil Simmons,18 April 1963,Right-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,1987,West Indies,Richie Richardson,12 January 1962,Right-handed,Right-arm medium pace,Leeward Islands
ODI World Cup,1987,West Indies,Roger Harper,17 March 1963,Right-handed,Right-arm offbreak,Guyana
ODI World Cup,1987,West Indies,Viv Richards (c),7 March 1952,Right-handed,Right-arm medium/offbreak,Leeward Islands
ODI World Cup,1987,West Indies,Winston Benjamin,31 December 1964,Right-handed,Right-arm fast,Leeward Islands
ODI World Cup,1987,Zimbabwe,Ali Shah,7 August 1959,Left-handed,Right-arm medium,-
ODI World Cup,1987,Zimbabwe,Andrew Pycroft,6 June 1956,Right-handed,Right-arm offbreak,-
ODI World Cup,1987,Zimbabwe,Andy Waller,25 September 1959,Right-handed,Right-arm medium,-
ODI World Cup,1987,Zimbabwe,Babu Meman,26 June 1952,Right-handed,Right-arm offbreak,-
ODI World Cup,1987,Zimbabwe,David Houghton (wk),23 June 1957,Right-handed,Right-arm off-break,-
ODI World Cup,1987,Zimbabwe,Eddo Brandes,5 March 1963,Right-handed,Right-arm fast,-
ODI World Cup,1987,Zimbabwe,Grant Paterson,9 June 1960,Right-handed,Right-arm off-spin,-
ODI World Cup,1987,Zimbabwe,Iain Butchart,9 May 1960,Right-handed,Right-arm medium,-
ODI World Cup,1987,Zimbabwe,John Traicos (c),17 May 1947,Right-handed,Right-arm off-spin,-
ODI World Cup,1987,Zimbabwe,Kevin Arnott,8 March 1961,Right-handed,-,-
ODI World Cup,1987,Zimbabwe,Kevin Curran,7 September 1959,Right-handed,Right-arm fast medium,-
ODI World Cup,1987,Zimbabwe,Malcolm Jarvis,6 December 1955,Right-handed,Left-arm medium fast,-
ODI World Cup,1987,Zimbabwe,Peter Rawson,25 May 1957,Right-handed,Right-arm medium-fast,-
ODI World Cup,1987,Zimbabwe,Robin Brown,11 March 1951,Right-handed,Right-arm medium,-
ODI World Cup,1992,Australia,Allan Border (c),27 July 1955,Left-handed,Left-arm orthodox spin,Queensland
ODI World Cup,1992,Australia,Bruce Reid,14 March 1963,Left-handed,Left-arm fast-medium,Western Australia
ODI World Cup,1992,Australia,Craig McDermott,14 April 1965,Right-handed,Right-arm fast,Queensland
ODI World Cup,1992,Australia,David Boon,29 December 1960,Right-handed,Right-arm off-break,Tasmania
ODI World Cup,1992,Australia,Dean Jones,24 March 1961,Right-handed,Right-arm off-break,Victoria
ODI World Cup,1992,Australia,Geoff Marsh,31 December 1958,Right-handed,Right-arm off-break,Western Australia
ODI World Cup,1992,Australia,Ian Healy (wk),30 April 1964,Right-handed,Wicket-keeper,Queensland
ODI World Cup,1992,Australia,Mark Taylor,27 October 1964,Left-handed,Right-arm medium,New South Wales
ODI World Cup,1992,Australia,Mark Waugh,2 June 1965,Right-handed,Right-arm medium/off-break,New South Wales
ODI World Cup,1992,Australia,Merv Hughes,23 November 1961,Right-handed,Right-arm fast,Victoria
ODI World Cup,1992,Australia,Mike Whitney,24 February 1959,Right-handed,Left-arm fast,New South Wales
ODI World Cup,1992,Australia,Peter Taylor,22 August 1956,Left-handed,Right-arm offbreak,Queensland
ODI World Cup,1992,Australia,Steve Waugh,2 June 1965,Right-handed,Right-arm medium,New South Wales
ODI World Cup,1992,Australia,Tom Moody,2 October 1965,Right-handed,Right-arm medium,Western Australia
ODI World Cup,1992,England,Alec Stewart (wk),8 April 1963,Right-handed,Right-arm medium,Surrey
